id_hotel,nombre_hotel,direccion_hotel,empleados
1,Brown PLC Hotel,"73161 Samuel Extensions Suite 563
Petersmouth, DC 72001","[39, 66, 87, 16, 96, 70, 56, 22, 55, 23, 98, 67, 47, 18, 61, 97, 92, 69, 42]"
2,"Wilkerson, Parks and Paul Hotel","86066 Jessica Spurs
New Kathleenmouth, AK 82739","[1, 3, 41, 23, 52, 99, 6, 60, 91, 86, 38, 37, 31, 71, 16, 16, 35, 100]"
3,"Mathews, Dillon and Houston Hotel","70931 Gavin Square Suite 030
Williamsfurt, MS 91020","[88, 62, 73, 58, 47, 36, 51, 62]"
4,Rogers and Sons Hotel,"7306 Jacqueline Cliffs
Lake Michele, MP 07600","[13, 64, 87, 64, 37, 76, 63, 24, 24, 32, 32, 52, 75, 77]"
5,Smith-White Hotel,"890 Summers Manor
Palmerborough, MH 80323","[11, 76, 66, 25, 55, 67, 49, 80, 60, 78, 72]"
6,"Holden, Snyder and Hawkins Hotel","634 Bell Passage
Lake Rodneymouth, MO 82901","[40, 55, 51, 32, 52, 22, 95]"
7,Sims-Morales Hotel,"884 Mark Mountain
Heatherhaven, AL 39978","[16, 49, 46, 94, 54, 49, 6, 67, 3, 67, 27]"
8,Garrison PLC Hotel,"6725 Gonzalez Ford Suite 367
Port Brianbury, CA 16714","[45, 53, 26, 88, 97, 70, 99, 49, 70, 61, 18, 52, 46, 32, 3, 31, 100]"
9,Moran Ltd Hotel,"32685 Frank Shores Suite 435
Adamsside, TX 30521","[54, 45, 22, 57, 75, 36, 16, 27, 7]"
10,Matthews PLC Hotel,"16875 Young Lodge
East Kathleen, GU 37797","[54, 90, 41, 50, 49, 55, 2, 11, 22]"
11,Ortiz Inc Hotel,"8990 Christopher Creek Suite 428
Ronaldshire, NH 68974","[61, 61, 31, 72, 81, 32, 48, 9, 64, 35, 100, 50, 85, 100, 67, 92, 42, 26, 20]"
12,"Thompson, Moore and Warner Hotel","189 Atkins Rue Apt. 858
Port Robert, ND 68834","[26, 11, 65, 43, 97, 17, 80, 83, 73, 92, 61, 27, 100, 97, 78, 74, 18, 92, 31]"
13,"Johnson, Wood and Bauer Hotel","USS Rodriguez
FPO AE 11433","[29, 95, 87, 75, 73, 52, 51, 34, 49, 66, 89, 70, 45, 68, 7, 93, 9, 95, 32]"
14,West Inc Hotel,"788 Walls Stream
North Alison, ME 70186","[95, 73, 100, 71, 70, 50, 65, 95]"
15,Caldwell-Smith Hotel,"1224 Mccormick Meadow
Port Carmen, NC 26840","[13, 62, 67, 100, 48, 77, 35, 99, 19, 89, 62, 94, 58]"
16,Rodriguez-Webb Hotel,"710 Lisa Wells
South Teresa, AL 93710","[54, 37, 78, 87, 95, 57, 41, 76, 56, 19, 71, 79, 48, 1, 54, 2, 1]"
17,"Rodriguez, Hunter and Jones Hotel","829 Flores Radial Apt. 730
New Danielmouth, ME 97097","[38, 23, 33, 15, 49, 28, 76, 48, 37, 52, 92, 10, 84, 26, 72, 61, 80, 10, 31]"
18,Smith-Russell Hotel,"80614 Smith Land
New Elizabeth, FM 54784","[46, 58, 51, 41, 30, 82, 89, 87, 39, 18, 38, 72, 88, 8, 69]"
19,Perez-Malone Hotel,"35096 Robert Camp
Camposton, MP 25166","[19, 26, 68, 22, 27, 17, 24, 8, 95]"
20,"Serrano, Johnson and Ray Hotel","947 Webb Street
Pierceborough, DE 55061","[6, 82, 78, 1, 99, 76, 49, 11, 73, 34, 15, 34, 43, 68, 100, 77, 50]"
21,Levy LLC Hotel,"91033 John Mall Apt. 514
South Ianbury, IL 34444","[30, 74, 1, 77, 12]"
22,Barron Ltd Hotel,"2749 Anne Road Apt. 462
Huffton, PW 97323","[16, 15, 38, 80, 32, 95, 80, 22, 47]"
23,Ponce and Sons Hotel,"2881 Li Curve Suite 042
East Taylor, MO 62600","[94, 34, 6, 88, 57, 22, 62, 98, 16, 67, 36, 79, 53, 84, 66, 55, 56, 47]"
24,Horn-Cisneros Hotel,"806 Donna Field
North Charleston, NY 38211","[25, 30, 22, 65, 86, 69, 13, 59]"
25,Perez-Porter Hotel,"0097 Gomez Terrace
Lisaside, MP 77615","[16, 87, 83, 87, 49, 99, 40]"
26,"Parker, Pierce and Acosta Hotel","915 Laura Grove Suite 679
Maytown, HI 54646","[10, 80, 68, 16, 39, 73, 20, 66, 1, 26, 45, 60, 12, 68, 92]"
27,Chan-Nguyen Hotel,"12788 Thomas Extension Apt. 393
West Christopherville, MS 33800","[81, 40, 81, 16, 61, 20, 36, 32, 2]"
28,Barber-Silva Hotel,"683 Sara Lane
Davistown, WI 02828","[64, 36, 12, 12, 50, 91, 14, 7, 74, 81, 7, 86]"
29,"Harris, Howard and Vega Hotel","905 Andrade Springs Suite 803
Veronicabury, PA 82497","[71, 41, 100, 71, 50, 20, 98, 23, 74, 94]"
30,Bailey-Brown Hotel,"22427 Ernest Lodge Apt. 432
Shafferfurt, OH 10465","[72, 76, 41, 30, 21, 10, 4, 88, 22, 4, 98]"
31,"Davis, Ramsey and Burke Hotel","Unit 2900 Box 7395
DPO AE 79840","[19, 96, 64, 39, 29, 37, 9, 92, 69, 58, 83, 6, 8, 29, 66, 21, 83, 22, 23]"
32,Harris Ltd Hotel,"83440 Miller Mills Suite 544
Timothybury, OR 58616","[91, 32, 40, 74, 68, 47, 17, 20, 16, 38, 96, 75]"
33,Mcgee-Hall Hotel,"4033 Ryan Orchard
Hamiltonville, HI 88811","[35, 48, 36, 10, 67, 5, 68, 83, 54, 8, 65, 90, 42, 92, 47, 14]"
34,Quinn LLC Hotel,"588 Salinas Crescent Apt. 229
North Michaelview, MA 18110","[46, 94, 69, 16, 86, 92, 10, 39, 94, 65, 34, 23, 58]"
35,Jackson-Savage Hotel,"49370 Barrett Radial Apt. 811
Laurabury, IA 59488","[54, 57, 68, 7, 9, 69, 86, 71, 11, 38, 10, 54]"
36,Allen PLC Hotel,"40277 Patterson Hill
Brownberg, TX 67592","[15, 59, 88, 11, 72, 25, 72, 41]"
37,"Montes, Graves and Sharp Hotel","6232 Robert Forest Apt. 626
Lake Jamestown, MH 04188","[89, 67, 18, 79, 94]"
38,Doyle-Morris Hotel,"00834 Turner Lane Apt. 954
West Samuel, ID 05796","[95, 9, 29, 100, 14, 83, 48, 12, 11, 84, 80]"
39,White PLC Hotel,"37694 Jasmine Mountains Apt. 560
South Tabitha, NH 02955","[66, 6, 52, 93, 91, 61, 32, 84, 26, 24, 23, 41, 29, 22, 33]"
40,Gonzalez PLC Hotel,"461 Tammy Passage
East Robertberg, AZ 83241","[77, 25, 59, 1, 54, 96, 57, 96, 53, 68, 41, 28, 70]"
41,"Ward, Wilson and Thomas Hotel","34656 Adrienne Manor Suite 363
Lake Cherylshire, MD 43104","[10, 62, 93, 79, 51, 16, 37, 42, 65, 27, 95, 27, 17, 93, 88, 56]"
42,"Ewing, Matthews and Sanchez Hotel","38868 Miller Orchard
Mooreview, GU 48613","[84, 62, 34, 10, 56, 95]"
43,Johns PLC Hotel,"538 Gomez Union Suite 132
Hullside, ID 79602","[2, 57, 8, 87, 37]"
44,Brady LLC Hotel,"3889 Regina Roads Apt. 099
West Rachelchester, MD 36756","[68, 42, 79, 96, 58, 32, 26, 87, 19, 97, 91, 37]"
45,Velazquez LLC Hotel,"1157 Donna Prairie Suite 806
Catherinefurt, WY 63310","[81, 65, 59, 9, 98, 95, 56, 58, 18, 48, 43, 49, 28, 88, 74, 54, 83, 53]"
46,Campbell Inc Hotel,"9080 Wilkins Stravenue Suite 085
Port Tammy, FM 14456","[19, 16, 16, 31, 3]"
47,Duffy-Gonzalez Hotel,"54712 Atkins Hollow
Alexanderside, SC 71270","[62, 80, 45, 98, 35]"
48,Olson-Turner Hotel,"97209 Rachel Centers Apt. 102
East Thomasmouth, NV 52380","[38, 73, 98, 3, 68, 53, 20, 27, 6, 45]"
49,Howe-Miller Hotel,"Unit 7971 Box 3933
DPO AA 10838","[4, 70, 59, 80, 89]"
50,Morrow-Downs Hotel,"51687 Christine Rapid Apt. 453
Aliciamouth, AL 84553","[96, 86, 41, 90, 31, 18, 2]"
51,Fox-Rivera Hotel,"996 Mcconnell Extension Apt. 678
Johnside, VT 61964","[3, 39, 18, 61, 55, 55, 80, 7, 79, 84, 55]"
52,Carroll-Davis Hotel,"86439 Reid Trace Apt. 880
Shawland, WA 51765","[83, 3, 7, 66, 10, 31, 84, 65, 55]"
53,Gibson-Miles Hotel,"853 Stanley Mountain
Cohenbury, WY 51985","[86, 89, 29, 70, 78, 41, 77, 36, 29, 20, 38, 63, 82, 5, 83, 57, 25, 4, 5]"
54,Francis-Anderson Hotel,"PSC 3034, Box 8970
APO AP 64271","[11, 43, 16, 30, 66, 48, 89, 46]"
55,Murray-Brown Hotel,"3539 Kelly Lock
New Johnny, HI 71517","[54, 4, 94, 99, 92, 60, 83]"
56,Everett-Santiago Hotel,"945 Jones Fall
New Michaelton, MS 93367","[63, 27, 83, 33, 22, 31, 23, 88, 92, 98, 98, 43, 31, 79, 7, 96, 35, 35, 60]"
57,Harrell Ltd Hotel,"34969 Amanda Ways
Fernandezbury, RI 32925","[38, 18, 15, 73, 88, 9, 96, 12, 59, 50, 63, 9, 76, 18]"
58,Lyons-Gordon Hotel,"80827 Washington Roads Suite 142
Lake Jennifer, TX 51702","[86, 91, 58, 28, 31, 12, 71, 62, 38, 54, 24, 25, 7, 25]"
59,Harris-Burch Hotel,"PSC 1876, Box 4573
APO AP 69036","[55, 32, 67, 8, 82, 57, 99, 18, 91, 58, 74, 36, 34, 59, 81, 48, 58, 85, 89]"
60,"Buckley, Guzman and Cruz Hotel","085 Nicole Motorway Suite 950
Joneston, OR 08363","[82, 81, 14, 97, 6, 42, 60, 9, 51, 31, 76, 62, 15, 33, 25, 71, 41]"
61,Adams LLC Hotel,"837 Kristin Islands
Angelside, TX 94014","[32, 3, 85, 9, 50, 1, 9, 4, 15, 86, 64, 47]"
62,Mitchell PLC Hotel,"1462 Carter Course Suite 059
East Johnport, HI 30578","[59, 85, 85, 25, 100, 62, 68, 36]"
63,Roberts Group Hotel,"USNV Hunt
FPO AP 42501","[84, 57, 8, 42, 4, 71, 50, 16]"
64,Watson PLC Hotel,"0753 Shelia Stream
Lake Tara, NH 73664","[93, 1, 88, 54, 11, 72, 57, 3, 50, 79, 2, 59, 11, 57, 32, 32, 70]"
65,"Rice, Bryant and Taylor Hotel","1940 Ramirez Pass
Riggsside, NV 52776","[74, 79, 24, 81, 73, 95, 55, 51, 79, 24, 14, 59, 86]"
66,Mann PLC Hotel,"913 Lisa Curve Apt. 496
Robertton, MH 20212","[30, 34, 43, 12, 47, 37, 41, 12, 3, 4, 16, 71, 77, 61, 54, 94, 59, 30, 22]"
67,"Kelly, Hill and Winters Hotel","8201 Steele Camp
North Matthewtown, GA 80647","[11, 32, 41, 21, 91, 50, 4]"
